Tipo de alojamiento	Total Nacional	Comunidades y Ciudades Autónomas	Periodo	Total
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M04	2,43
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M03	1,84
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M02	1,52
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2019M01	2,09
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M12	2,04
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M11	1,99
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M10	2,46
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M09	3,03
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M08	3,70
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M07	4,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M06	3,37
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M05	2,60
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M04	2,27
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M03	2,41
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M02	2,11
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2018M01	1,69
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M12	2,17
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M11	2,04
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M10	2,00
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M09	3,22
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M08	3,66
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M07	3,85
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M06	2,99
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M05	2,23
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M04	2,43
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M03	1,68
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M02	1,74
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2017M01	2,18
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M12	1,52
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M11	1,83
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M10	2,14
Encuesta de Ocupación en Campings	Total Nacional	12 Galicia	2016M09	2,71
